code,national examination board,province,regions
1,Sở GD&ĐT Hà Nội,Hà Nội,Bắc Bộ
2,Sở GD&ĐT TP. Hồ Chí Minh,TP. Hồ Chí Minh,Miền Nam
3,Sở GD&ĐT Hải Phòng,Hải Phòng,Bắc Bộ
4,Sở GD&ĐT Đà Nẵng,Đà Nẵng,Miền Trung
5,Sở GD&ĐT Hà Giang,Hà Giang,Bắc Bộ
6,Sở GD&ĐT Cao Bằng,Cao Bằng,Bắc Bộ
7,Sở GD&ĐT Lai Châu,Lai Châu,Bắc Bộ
8,Sở GD&ĐT Lào Cai,Lào Cai,Bắc Bộ
9,Sở GD&ĐT Tuyên Quang,Tuyên Quang,Bắc Bộ
10,Sở GD&ĐT Lạng Sơn,Lạng Sơn,Bắc Bộ
11,Sở GD&ĐT Bắc Kạn,Bắc Kạn,Bắc Bộ
12,Sở GD&ĐT Thái Nguyên,Thái Nguyên,Bắc Bộ
13,Sở GD&ĐT Yên Bái,Yên Bái,Bắc Bộ
14,Sở GD&ĐT Sơn La,Sơn La,Bắc Bộ
15,Sở GD&ĐT Phú Thọ,Phú Thọ,Bắc Bộ
16,Sở GD&ĐT Vĩnh Phúc,Vĩnh Phúc,Bắc Bộ
17,Sở GD&ĐT Quảng Ninh,Quảng Ninh,Bắc Bộ
18,Sở GD&ĐT Bắc Giang,Bắc Giang,Bắc Bộ
19,Sở GD&ĐT Bắc Ninh,Bắc Ninh,Bắc Bộ
20,Sở GD&ĐT Hải Dương,Hải Dương,Bắc Bộ
21,Sở GD&ĐT Hưng Yên,Hưng Yên,Bắc Bộ
22,Sở GD&ĐT Hoà Bình,Hoà Bình,Bắc Bộ
23,Sở GD&ĐT Hà Nam,Hà Nam,Bắc Bộ
24,Sở GD&ĐT Nam Định,Nam Định,Bắc Bộ
25,Sở GD&ĐT Thái Bình,Thái Bình,Bắc Bộ
26,Sở GD&ĐT Ninh Bình,Ninh Bình,Bắc Bộ
27,Sở GD&ĐT Thanh Hoá,Thanh Hoá,Miền Trung
28,Sở GD&ĐT Nghệ An,Nghệ An,Miền Trung
29,Sở GD&ĐT Hà Tĩnh,Hà Tĩnh,Miền Trung
30,Sở GD&ĐT Quảng Bình,Quảng Bình,Miền Trung
31,Sở GD&ĐT Quảng Trị,Quảng Trị,Miền Trung
32,Sở GD&ĐT Thừa Thiên Huế,Thừa Thiên Huế,Miền Trung
33,Sở GD&ĐT Quảng Nam,Quảng Nam,Miền Trung
34,Sở GD&ĐT Quảng Ngãi,Quảng Ngãi,Miền Trung
35,Sở GD&ĐT Kon Tum,Kon Tum,Tây Nguyên
36,Sở GD&ĐT Bình Định,Bình Định,Miền Trung
37,Sở GD&ĐT Gia Lai,Gia Lai,Tây Nguyên
38,Sở GD&ĐT Phú Yên,Phú Yên,Miền Trung
39,Sở GD&ĐT Đắk Lắk,Đắk Lắk,Tây Nguyên
40,Sở GD&ĐT Khánh Hoà,Khánh Hoà,Miền Trung
41,Sở GD&ĐT Lâm Đồng,Lâm Đồng,Tây Nguyên
42,Sở GD&ĐT Bình Phước,Bình Phước,Miền Nam
43,Sở GD&ĐT Bình Dương,Bình Dương,Miền Nam
44,Sở GD&ĐT Ninh Thuận,Ninh Thuận,Miền Trung
45,Sở GD&ĐT Tây Ninh,Tây Ninh,Miền Nam
46,Sở GD&ĐT Bình Thuận,Bình Thuận,Miền Trung
47,Sở GD&ĐT Đồng Nai,Đồng Nai,Miền Nam
48,Sở GD&ĐT Long An,Long An,Miền Tây
49,Sở GD&ĐT Đồng Tháp,Đồng Tháp,Miền Tây
50,Sở GD&ĐT An Giang,An Giang,Miền Tây
51,Sở GD&ĐT Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Miền Nam
52,Sở GD&ĐT Tiền Giang,Tiền Giang,Miền Nam
53,Sở GD&ĐT Kiên Giang,Kiên Giang,Miền Tây
54,Sở GD&ĐT Cần Thơ,Cần Thơ,Miền Tây
55,Sở GD&ĐT Bến Tre,Bến Tre,Miền Tây
56,Sở GD&ĐT Vĩnh Long,Vĩnh Long,Miền Tây
57,Sở GD&ĐT Trà Vinh,Trà Vinh,Miền Tây
58,Sở GD&ĐT Sóc Trăng,Sóc Trăng,Miền Tây
59,Sở GD&ĐT Bạc Liêu,Bạc Liêu,Miền Tây
60,Sở GD&ĐT Cà Mau,Cà Mau,Miền Tây
61,Sở GD&ĐT Điện Biên,Điện Biên,Bắc Bộ
62,Sở GD&ĐT Đắk Nông,Đắk Nông,Tây Nguyên
63,Sở GD&ĐT Hậu Giang,Hậu Giang,Miền Tây
64,Cục Nhà trường - Bộ Quốc phòng,Bộ Quốc phòng,
